image,labels
3272036006005-fraise-des-bois-moulin-de-valdonne.jpg,"[mid: ""/m/04qgp""
description: ""liqueur""
score: 0.909134089947
topicality: 0.909134089947
, mid: ""/m/0271t""
description: ""drink""
score: 0.882997572422
topicality: 0.882997572422
, mid: ""/m/0fbdb""
description: ""strawberries""
score: 0.656500816345
topicality: 0.656500816345
, mid: ""/m/07fbm7""
description: ""strawberry""
score: 0.656345009804
topicality: 0.656345009804
, mid: ""/m/02w08""
description: ""flavor""
score: 0.653545856476
topicality: 0.653545856476
, mid: ""/m/05wgwh""
description: ""sweetness""
score: 0.603615522385
topicality: 0.603615522385
, mid: ""/m/01599""
description: ""beer""
score: 0.580314218998
topicality: 0.580314218998
, mid: ""/m/089mxq""
description: ""glass bottle""
score: 0.572014689445
topicality: 0.572014689445
, mid: ""/m/0gtdm""
description: ""condiment""
score: 0.541824281216
topicality: 0.541824281216
, mid: ""/m/04shl0""
description: ""distilled beverage""
score: 0.519824802876
topicality: 0.519824802876
]"
3254560046054-biscottes-auchan.jpg,"[mid: ""/m/017z0v""
description: ""toast""
score: 0.615713059902
topicality: 0.615713059902
, mid: ""/m/0dv34""
description: ""baking""
score: 0.61534845829
topicality: 0.61534845829
, mid: ""/m/052lwg6""
description: ""baked goods""
score: 0.554831027985
topicality: 0.554831027985
, mid: ""/m/02wbm""
description: ""food""
score: 0.538171231747
topicality: 0.538171231747
, mid: ""/m/0h55b""
description: ""junk food""
score: 0.524983465672
topicality: 0.524983465672
, mid: ""/m/02w08""
description: ""flavor""
score: 0.524592638016
topicality: 0.524592638016
]"
20240356-munster-gerome-27-mg-saveurs-de-nos-regions.jpg,"[mid: ""/m/01tv9""
description: ""cream""
score: 0.62638604641
topicality: 0.62638604641
, mid: ""/m/01jwgf""
description: ""product""
score: 0.566107690334
topicality: 0.566107690334
, mid: ""/m/07xgrh""
description: ""ingredient""
score: 0.563189804554
topicality: 0.563189804554
, mid: ""/m/02w08""
description: ""flavor""
score: 0.558411002159
topicality: 0.558411002159
]"
20424633-yaourt-nature-12-pots-milbona-lidl-stiftung-co-kg.jpg,"[mid: ""/m/02n3pb""
description: ""product""
score: 0.874676704407
topicality: 0.874676704407
, mid: ""/m/0284d""
description: ""dairy product""
score: 0.761197626591
topicality: 0.761197626591
, mid: ""/m/01tv9""
description: ""cream""
score: 0.735033750534
topicality: 0.735033750534
, mid: ""/m/02w08""
description: ""flavor""
score: 0.63214892149
topicality: 0.63214892149
, mid: ""/m/01jwgf""
description: ""product""
score: 0.556237757206
topicality: 0.556237757206
, mid: ""/m/03gq5hm""
description: ""font""
score: 0.549178361893
topicality: 0.549178361893
]"
3270160199686-4-paves-de-saumon-keta-du-pacifique-avec-peau-congeles-picard.jpg,"[mid: ""/m/0838f""
description: ""water""
score: 0.950565099716
topicality: 0.950565099716
, mid: ""/m/01hm70""
description: ""sea salt""
score: 0.683044970036
topicality: 0.683044970036
, mid: ""/m/05nnm""
description: ""organism""
score: 0.622051179409
topicality: 0.622051179409
, mid: ""/m/03vtj""
description: ""ice""
score: 0.601471722126
topicality: 0.601471722126
, mid: ""/m/01jwgf""
description: ""product""
score: 0.57781791687
topicality: 0.57781791687
, mid: ""/m/02hj4""
description: ""dolphin""
score: 0.561961531639
topicality: 0.561961531639
]"
3270160503148-puree-de-patate-douce-picard.jpg,"[mid: ""/m/0p57p""
description: ""recipe""
score: 0.517307817936
topicality: 0.517307817936
]"
3263851200310-chocolat-noir-aux-noisettes-leader-price.jpg,"[mid: ""/m/020vl""
description: ""chocolate""
score: 0.786698579788
topicality: 0.786698579788
, mid: ""/m/01j0r5""
description: ""praline""
score: 0.767109155655
topicality: 0.767109155655
, mid: ""/m/0pmlq""
description: ""chocolate bar""
score: 0.685655832291
topicality: 0.685655832291
, mid: ""/m/02wbm""
description: ""food""
score: 0.641380906105
topicality: 0.641380906105
, mid: ""/m/02w08""
description: ""flavor""
score: 0.60860478878
topicality: 0.60860478878
, mid: ""/m/0c5yy""
description: ""confectionery""
score: 0.575559139252
topicality: 0.575559139252
, mid: ""/m/03gq5hm""
description: ""font""
score: 0.549311101437
topicality: 0.549311101437
]"
20425609-multigrain-hoops-crownfield.jpg,"[mid: ""/m/01ww8y""
description: ""snack""
score: 0.918011307716
topicality: 0.918011307716
, mid: ""/m/0l6sg""
description: ""breakfast cereal""
score: 0.891304850578
topicality: 0.891304850578
, mid: ""/m/02n3pb""
description: ""product""
score: 0.842328906059
topicality: 0.842328906059
, mid: ""/m/07_lq""
description: ""vegetarian food""
score: 0.823509931564
topicality: 0.823509931564
, mid: ""/m/01ykh""
description: ""cuisine""
score: 0.71852517128
topicality: 0.71852517128
, mid: ""/m/02wbm""
description: ""food""
score: 0.695056140423
topicality: 0.695056140423
, mid: ""/m/05wgwh""
description: ""sweetness""
score: 0.660360097885
topicality: 0.660360097885
, mid: ""/m/02w08""
description: ""flavor""
score: 0.636519730091
topicality: 0.636519730091
, mid: ""/m/0284d""
description: ""dairy product""
score: 0.594072818756
topicality: 0.594072818756
, mid: ""/m/07xgrh""
description: ""ingredient""
score: 0.560874402523
topicality: 0.560874402523
]"
3263851282316-rillettes-de-thon-leader-price.jpg,"[mid: ""/m/01ykh""
description: ""cuisine""
score: 0.767815351486
topicality: 0.767815351486
, mid: ""/m/04q6ng""
description: ""comfort food""
score: 0.623668909073
topicality: 0.623668909073
, mid: ""/m/0jfd5""
description: ""lunch""
score: 0.510266005993
topicality: 0.510266005993
]"
20669386-beurre-tendre-doux-envia.jpg,"[mid: ""/m/01jwgf""
description: ""product""
score: 0.694319009781
topicality: 0.694319009781
, mid: ""/m/05c0n6k""
description: ""label""
score: 0.67279791832
topicality: 0.67279791832
, mid: ""/m/01l0y0""
description: ""material""
score: 0.581016600132
topicality: 0.581016600132
, mid: ""/m/03gq5hm""
description: ""font""
score: 0.520568907261
topicality: 0.520568907261
]"
